timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-05-04T14:13:25,logistic_classification,65910650-e8a9-4d02-be4b-2d56a53f676f,0.1088645458221435,0.0001159027925541,0.0010646514131745,42.5,0.0,141.20075225830078,0.0001486523244116,0,0.0004937602539018,0.0006424125783134,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.5353393554688,machine,N,1.0
2024-05-04T14:17:53,neural_classification,7a8ff515-0ce1-4794-bc01-72ed15f3e50d,7.964881896972656,0.00019651179591920884,2.4672279948545164e-05,42.5,0.0,141.20075225830078,0.0002520220001538595,0,0.0008371808283843621,0.0010892028285382214,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N,1.0
