title,decade,total_faces,face_presence
GDL,1790,3,15.0
GDL,1800,10,25.0
GDL,1810,2,7.7
GDL,1820,1,3.1
GDL,1830,2,5.6
GDL,1840,0,0.0
GDL,1850,2,8.3
GDL,1860,1,4.2
GDL,1870,1,4.2
GDL,1880,1,4.2
GDL,1890,1,3.8
GDL,1900,4,14.3
GDL,1910,4,13.3
GDL,1920,8,21.4
GDL,1930,8,21.4
GDL,1940,10,21.1
GDL,1950,8,16.7
GDL,1960,25,21.1
GDL,1970,14,14.1
GDL,1980,60,32.4
GDL,1990,115,35.6
