,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,accuracy,macro avg,weighted avg
precision,0.34339948231233824,0.3757700205338809,0.26666666666666666,0.19624217118997914,0.2485207100591716,0.3136219640971489,0.2783333333333333,0.30973451327433627,0.3509532062391681,0.3768595041322314,0.3115,0.3060101571838255,0.3060101571838255
recall,0.398,0.366,0.188,0.188,0.168,0.297,0.334,0.315,0.405,0.456,0.3115,0.3115,0.3115
f1-score,0.3686892079666512,0.3708206686930091,0.22052785923753665,0.1920326864147089,0.20047732696897375,0.3050847457627119,0.30363636363636365,0.31234506693108577,0.37604456824512533,0.41266968325791853,0.3115,0.30623281771140853,0.30623281771140853
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.3115,10000.0,10000.0
