task_name,timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud
language_model_load,2024-05-04T15:43:43,codecarbon,535908a8-44c0-4a0e-924d-bf73edd890be,14.735601663589478,0.00013565236432955166,9.205513962613978e-06,42.5,0.0,141.20075225830078,0.00017396385553810332,0,0.0005779143624310109,0.0007518782179691142,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
splitting_args,2024-05-04T15:43:43,codecarbon,535908a8-44c0-4a0e-924d-bf73edd890be,0.003523111343383789,2.9724610837257364e-08,8.440461318336735e-06,42.5,0.0,141.20075225830078,4.0680335627657147e-08,0,1.2407379554129315e-07,1.647541311689503e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
reading_csv,2024-05-04T15:43:44,codecarbon,535908a8-44c0-4a0e-924d-bf73edd890be,0.7265510559082031,6.682619899612993e-06,9.200552177254172e-06,42.5,0.0,141.20075225830078,8.573440545135068e-06,0,2.846621126129773e-05,3.7039651806432825e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
get_similar_words,2024-05-04T15:43:44,codecarbon,535908a8-44c0-4a0e-924d-bf73edd890be,0.20527982711791992,1.8764159324080837e-06,9.17534100480431e-06,42.5,0.0,141.20075225830078,2.4122653736008642e-06,0,7.988115588432277e-06,1.0400380962033114e-05,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
subsetting,2024-05-04T15:43:44,codecarbon,535908a8-44c0-4a0e-924d-bf73edd890be,0.008505582809448242,7.83229018502861e-08,8.817168407382639e-06,42.5,0.0,141.20075225830078,1.0354866584143382e-07,0,3.305704456125049e-07,4.341191114538845e-07,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
get_songs,2024-05-04T15:43:44,codecarbon,535908a8-44c0-4a0e-924d-bf73edd890be,0.05233645439147949,4.656581487547367e-07,9.129421116383344e-06,42.5,0.0,141.20075225830078,6.008744239807207e-07,0,1.980121644896797e-06,2.5809960688775177e-06,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
save_output,2024-05-04T15:43:44,codecarbon,535908a8-44c0-4a0e-924d-bf73edd890be,0.0015320777893066406,8.747585987137858e-09,6.943609934934948e-06,42.5,0.0,141.20075225830078,1.3707412613772531e-08,0,3.477769412252654e-08,4.8485106736244864e-08,Denmark,DNK,capital region,,,Linux-5.4.256.el8-x86_64-with-glibc2.35,3.10.12,2.3.5,64,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,12.5775,55.684,376.53533935546875,machine,N
