Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0101.a5.txt,2056.68,1093.12,769.23,412.96,5,1,1
0102.a5.txt,1673.31,1043.82,884.46,270.92,7,3,5
0103.a5.txt,1857.92,1111.11,628.42,391.62,5,3,3
0104.a5.txt,1918.18,945.45,645.45,372.73,5,3,6
0105.a5.txt,1546.49,1053.13,559.77,588.24,2,4,3
0106.a5.txt,2023.35,972.76,856.03,661.48,2,0,0
0107.a5.txt,2013.95,1229.29,784.66,549.26,3,0,0
0108.a5.txt,2129.34,1072.56,764.98,331.23,7,0,5
0111.a5.txt,1690.27,1057.6,689.33,311.61,7,6,4
0112.a5.txt,2191.16,1091.07,649.23,586.11,3,0,2
0115.a5.txt,1341.46,1088.85,757.84,487.8,11,2,2
0119.a5.txt,1859.3,1105.53,745.39,234.51,7,3,3
0121.a5.txt,1552.75,1035.17,610.48,384.87,6,0,6
0122.a5.txt,1771.58,1034.17,728.42,368.71,6,0,1
0125.a5.txt,2262.14,1019.42,893.2,485.44,1,0,2
0128.a5.txt,1959.06,1140.35,838.21,487.33,1,6,0
0130.a5.txt,1693.68,948.14,753.65,291.73,14,2,1
0134.a5.txt,1766.11,994.43,715.99,477.33,4,1,3
0137.a5.txt,1815.62,1072.44,583.25,460.96,2,2,4
0139.a5.txt,1342.55,1204.23,537.02,317.33,9,3,5
0140.a5.txt,1733.58,1040.15,638.69,282.85,6,3,2
0149.a5.txt,2605.92,1247.0,831.33,367.71,1,0,2
0157.a5.txt,1754.23,1184.33,641.14,596.62,3,0,0
0158.a5.txt,1607.46,1216.7,772.65,550.62,7,0,3
0159.a5.txt,2128.98,1068.9,971.73,335.69,0,0,1
0161.a5.txt,2205.04,886.9,976.4,260.37,3,0,3
0163.a5.txt,2338.96,935.58,889.57,437.12,1,0,0
0165.a5.txt,2070.48,995.59,837.0,290.75,5,0,3
0171.a5.txt,1583.58,960.41,527.86,388.56,15,2,2
0178.a5.txt,1542.15,1028.1,801.92,466.07,9,5,3
0182.a5.txt,2287.1,1086.78,746.15,429.85,7,0,2
0185.a5.txt,1821.31,1056.7,730.24,223.37,4,3,3
0186.a5.txt,1978.65,977.01,894.91,402.3,6,0,0
0187.a5.txt,2301.37,1114.16,785.39,365.3,5,1,5
0188.a5.txt,1571.54,1063.33,750.59,461.3,6,1,2
0192.a5.txt,1680.89,1126.28,657.0,443.69,9,2,2
0193.a5.txt,2208.7,1086.96,843.48,400.0,1,0,1
0197.a5.txt,1495.48,895.65,377.98,336.89,7,1,5
0198.a5.txt,2158.98,1020.61,814.52,372.91,2,0,0
0199.a5.txt,1830.44,1001.93,780.35,385.36,6,5,1
0200.a5.txt,1488.62,1173.38,700.53,429.07,5,3,4
0206.a5.txt,1494.25,960.59,706.08,361.25,5,1,5
0214.a5.txt,1654.68,1115.11,674.46,314.75,9,4,2
0215.a5.txt,1782.02,962.61,564.84,286.4,9,2,3
0219.a5.txt,2074.28,987.32,896.74,615.94,3,0,3
0222.a5.txt,1783.63,1159.84,701.75,419.1,0,1,1
0223.a5.txt,1606.46,1045.35,684.09,392.01,6,2,6
0227.a5.txt,1642.23,938.42,769.79,351.91,12,2,1
0234.a5.txt,1597.94,927.84,515.46,335.05,10,6,4
0238.a5.txt,1912.39,1153.85,673.08,331.2,3,1,0
1003.a5.txt,2223.26,1050.66,722.33,243.9,4,0,0
1005.a5.txt,1816.76,1010.18,587.31,360.22,3,1,4
1006.a5.txt,1618.18,1027.27,663.64,409.09,9,4,2
1008.a5.txt,1937.3,1028.94,884.24,434.08,6,0,1
1010.a5.txt,2256.51,887.17,896.82,308.58,5,0,8
1012.a5.txt,1989.92,1032.75,747.27,327.46,3,0,0
1013.a5.txt,1695.96,1133.57,702.99,298.77,3,3,2
1014.a5.txt,1881.27,1036.79,802.68,351.17,6,3,3
1018.a5.txt,2062.66,966.06,905.13,278.5,5,1,0
1021.a5.txt,1843.14,1150.33,666.67,405.23,4,0,5
1022.a5.txt,2394.24,1161.12,1062.11,468.05,1,0,0
1023.a5.txt,1677.22,1012.66,688.29,443.04,8,3,3
1032.a5.txt,2177.55,1172.53,670.02,577.89,0,0,1
1034.a5.txt,1824.74,1020.62,752.58,381.44,4,3,6
1036.a5.txt,1398.69,954.25,666.67,313.73,5,1,3
1041.a5.txt,1668.11,877.5,729.8,443.09,12,2,6
1043.a5.txt,1482.46,1122.81,631.58,543.86,8,1,0
1048.a5.txt,2180.39,1019.61,682.35,415.69,3,0,6
1050.a5.txt,1621.07,1114.49,770.01,486.32,6,4,1
1055.a5.txt,1814.81,1074.07,1055.56,462.96,1,2,1
1057.a5.txt,1392.09,1219.11,617.79,345.96,6,2,2
1061.a5.txt,1468.35,1080.17,590.72,236.29,15,2,3
1062.a5.txt,1497.98,874.49,777.33,453.44,7,2,6
1064.a5.txt,2198.7,1245.93,610.75,586.32,2,0,2
1065.a5.txt,1838.6,973.38,732.11,391.01,10,3,4
1067.a5.txt,1762.68,1074.81,644.88,343.94,8,4,4
1068.a5.txt,1985.29,1323.53,735.29,514.71,2,2,1
1070.a5.txt,1364.47,1199.63,714.29,320.51,11,2,2
1072.a5.txt,1402.85,1065.27,547.64,465.12,5,3,8
1074.a5.txt,1925.52,1080.84,853.77,535.88,3,1,1
1081.a5.txt,2070.95,1083.41,910.83,421.86,2,0,4
1088.a5.txt,1365.22,1121.74,852.17,330.43,7,0,0
1094.a5.txt,1494.57,1358.7,543.48,253.62,9,1,2
1095.a5.txt,1497.8,1048.46,819.38,422.91,7,1,1
1099.a5.txt,1551.13,1117.85,615.25,337.95,11,1,0
1100.a5.txt,1596.57,1124.46,575.11,326.18,4,1,4
1102.a5.txt,2085.22,1015.41,698.1,317.32,3,1,2
1104.a5.txt,1680.74,996.62,582.77,447.64,9,5,6
1112.a5.txt,2018.28,1096.73,1028.18,525.51,6,0,1
1121.a5.txt,1523.67,1072.49,680.47,510.36,4,2,2
2005.a5.txt,1934.01,1127.41,623.28,339.14,4,1,4
2007.a5.txt,1551.53,883.35,713.48,566.25,7,3,2
2012.a5.txt,2056.36,837.78,723.53,373.19,5,2,4
2014.a5.txt,2211.76,1027.45,839.22,462.75,5,0,3
2015.a5.txt,1859.76,952.74,769.82,335.37,4,2,5
2019.a5.txt,1828.83,1180.18,675.68,369.37,9,5,2
2020.a5.txt,2030.14,921.99,824.47,257.09,4,1,2
2021.a5.txt,1764.71,966.96,950.85,346.49,3,1,5
2026.a5.txt,1810.51,844.28,741.09,440.9,4,5,1
2028.a5.txt,2043.09,924.25,743.57,444.75,13,1,1
2032.a5.txt,1700.68,909.86,994.9,340.14,4,1,3
2034.a5.txt,1729.44,891.62,614.91,376.63,6,2,12
2035.a5.txt,1822.47,895.52,667.71,471.33,3,0,0
2036.a5.txt,1840.25,1135.47,626.47,446.36,4,0,2
2039.a5.txt,1283.46,992.13,740.16,425.2,12,2,3
2040.a5.txt,2036.55,992.17,861.62,339.43,11,0,7
2045.a5.txt,1931.1,1042.61,743.43,326.38,6,2,2
2048.a5.txt,1494.69,773.9,1047.04,326.25,14,1,5
2049.a5.txt,2282.96,1146.84,1114.68,342.98,5,1,0
2050.a5.txt,1680.46,877.48,687.09,463.58,7,3,9
2058.a5.txt,1445.13,942.81,625.97,347.76,8,1,5
2066.a5.txt,2164.25,1178.74,859.9,280.19,6,2,0
2071.a5.txt,2301.7,1069.41,899.43,403.68,2,0,1
2075.a5.txt,2008.88,826.86,632.63,421.75,10,1,3
