Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0103.b1.txt,2064.02,1026.49,971.3,242.83,2,0,3
0105.b1.txt,2041.96,1048.95,685.31,867.13,0,0,1
0122.b1.txt,2148.76,1216.06,767.41,519.48,0,0,0
0134.b1.txt,2013.57,1018.1,814.48,667.42,0,0,0
0139.b1.txt,1910.24,1219.79,747.99,460.3,0,0,0
0140.b1.txt,2179.33,1033.62,734.74,547.95,0,0,0
0165.b1.txt,2044.69,972.07,581.01,603.35,9,0,0
0171.b1.txt,2107.33,1020.94,641.36,589.01,2,0,0
0200.b1.txt,2226.42,1069.18,792.45,830.19,0,1,2
0300.b1.txt,1679.39,926.94,1177.75,577.97,15,0,4
0304.b1.txt,1841.68,1324.72,759.29,630.05,1,0,0
0307.b1.txt,2094.06,862.26,716.69,291.15,12,0,3
0308.b1.txt,1936.11,987.42,939.01,735.72,1,0,0
0310.b1.txt,2061.25,977.62,718.49,647.82,5,0,4
0313.b1.txt,1743.42,1074.56,657.89,745.61,0,0,0
1003.b1.txt,2104.66,978.38,989.76,477.82,6,0,5
1006.b1.txt,2047.06,976.47,835.29,529.41,0,1,5
1006.b1i.txt,2047.06,976.47,835.29,529.41,0,1,5
1012.b1.txt,2209.6,972.22,833.33,404.04,0,0,0
1021.b1.txt,1763.34,928.07,904.87,580.05,1,0,2
1023.b1.txt,1820.15,866.74,1094.26,812.57,1,0,5
1057.b1.txt,1756.62,1246.32,765.46,716.39,0,1,0
1066.b1.txt,1950.06,1034.48,1093.94,606.42,1,0,3
1069.b1.txt,1623.85,834.86,651.38,623.85,6,1,8
1081.b1.txt,1936.51,1142.86,772.49,507.94,2,0,3
1097.b1.txt,1985.45,977.13,956.34,602.91,8,0,2
1100.b1.txt,2010.8,1093.12,1160.59,566.8,0,0,0
1102.b1.txt,2308.58,986.08,684.45,475.64,0,0,4
1104.b1.txt,1888.27,960.89,715.08,558.66,5,0,5
1104.b1i.txt,1888.27,960.89,715.08,558.66,5,0,5
1112.b1.txt,2109.21,1156.32,685.22,599.57,0,0,0
1500.b1.txt,2289.6,878.71,742.57,544.55,1,0,4
1508.b1.txt,2223.62,1168.34,766.33,565.33,0,0,0
1520.b1.txt,1991.57,969.44,790.31,526.87,0,2,2
1523.b1.txt,1246.38,1217.39,869.57,695.65,1,1,3
1528.b1.txt,2042.33,1100.53,571.43,275.13,7,0,3
1532.b1.txt,2206.98,860.35,847.88,448.88,1,0,2
1541.b1.txt,2036.26,822.87,850.77,585.77,1,1,1
2012.b1.txt,1837.21,1046.51,651.16,581.4,3,0,1
2012.b1i.txt,1837.21,1046.51,651.16,581.4,3,0,1
2018.b1.txt,2224.53,977.13,800.42,488.57,0,1,9
2019.b1.txt,1586.12,1263.94,805.45,582.4,3,0,0
2028.b1.txt,1745.41,1259.84,577.43,643.04,1,0,0
2030.b1.txt,1741.36,1037.13,973.11,653.01,1,0,0
2032.b1.txt,1821.66,1248.41,777.07,624.2,2,0,0
2034.b1.txt,1889.34,985.16,634.28,580.3,5,0,2
2036.b1.txt,1750.0,1250.0,796.88,656.25,0,0,0
2042.b1.txt,1662.47,1183.88,743.07,617.13,1,0,2
2049.b1.txt,2182.23,1012.37,708.66,528.68,4,0,1
2066.b1.txt,1853.86,1353.18,608.93,392.42,6,0,0
2070.b1.txt,2065.22,1086.96,543.48,446.86,2,0,2
2070.b1i.txt,2053.14,1086.96,543.48,446.86,2,0,2
3013.b1.txt,1984.48,1175.17,942.35,365.85,2,0,0
3018.b1.txt,1970.98,1233.37,689.24,532.04,2,0,1
3020.b1.txt,1918.67,1074.04,615.22,417.1,1,1,4
3062.b1.txt,2365.2,906.86,1017.16,514.71,0,0,0
3501.b1.txt,2339.57,989.3,935.83,427.81,3,1,2
3503.b1.txt,2444.77,824.74,765.83,382.92,0,0,0
3504.b1.txt,2120.45,966.12,727.73,489.34,7,0,12
3505.b1.txt,1639.87,1157.56,932.48,739.55,2,0,4
3506.b1.txt,2313.17,937.13,854.09,320.28,0,0,3
3508.b1.txt,1869.06,855.33,1119.32,570.22,2,4,1
3509.b1.txt,1811.85,1080.14,766.55,603.95,1,0,6
3510.b1.txt,1864.41,900.42,963.98,402.54,4,1,11
3511.b1.txt,1688.45,1198.26,904.14,708.06,0,0,0
3513.b1.txt,2173.46,1274.82,867.29,323.93,2,1,1
3514.b1.txt,2121.66,1038.58,890.21,415.43,8,0,1
3515.b1.txt,2317.8,1063.32,931.9,513.74,2,0,1
3518.b1.txt,1757.37,1088.44,589.57,668.93,5,0,0
3519.b1.txt,1472.0,976.0,832.0,464.0,0,0,3
3520.b1.txt,2446.48,907.24,866.46,611.62,0,1,0
3522.b1.txt,2098.77,1167.23,729.52,471.38,1,0,4
3523.b1.txt,2176.8,1104.97,1016.57,508.29,0,0,9
3525.b1.txt,1792.0,1232.0,752.0,368.0,3,0,2
4012.b1.txt,2269.19,978.87,700.78,678.53,1,0,0
4035.b1.txt,1597.87,1158.46,625.83,719.04,1,0,0
4036.b1.txt,1780.05,1020.41,997.73,487.53,3,0,1
4038.b1.txt,2126.64,1003.58,752.69,645.16,0,0,0
4503.b1.txt,1881.31,1111.11,631.31,378.79,2,2,2
4507.b1.txt,2296.04,1317.02,769.23,512.82,2,0,1
