title,decade,total_faces,face_presence
JDG,1820,0,0.0
JDG,1830,1,1.9
JDG,1840,1,2.0
JDG,1850,2,4.2
JDG,1860,4,6.2
JDG,1870,5,4.3
JDG,1880,6,10.0
JDG,1890,1,1.9
JDG,1900,11,16.7
JDG,1910,6,8.0
JDG,1920,21,10.0
JDG,1930,32,19.2
JDG,1940,13,10.9
JDG,1950,49,25.0
JDG,1960,44,18.7
JDG,1970,48,22.0
JDG,1980,143,34.6
JDG,1990,190,29.0
