,airplane,automobile,bird,cat,deer,dog,frog,horse,ship,truck,accuracy,macro avg,weighted avg
precision,0.5080906148867314,0.47484909456740443,0.3062200956937799,0.25604551920341395,0.31453634085213034,0.3638320775026911,0.316991643454039,0.4163793103448276,0.4860834990059642,0.45168067226890757,0.3846,0.38947088677798897,0.3894708867779889
recall,0.314,0.472,0.32,0.18,0.251,0.338,0.569,0.483,0.489,0.43,0.3846,0.3846,0.3846
f1-score,0.38813349814585907,0.47342026078234706,0.31295843520782396,0.21139166177334115,0.27919911012235815,0.35044064282011406,0.4071556350626118,0.44722222222222224,0.48753738783649053,0.4405737704918033,0.3846,0.37980326244649715,0.3798032624464972
support,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,0.3846,10000.0,10000.0
