Filename,RelFreq NOUN,RelFreq VERB,RelFreq ADJ,RelFreq ADV,Unique PER,Unique LOC,Unique ORG
0103.b4.txt,1380.39,1168.63,619.61,478.43,7,0,1
0105.b4.txt,1222.9,1179.53,529.05,555.07,12,0,4
0107.b4.txt,1810.97,1248.2,656.57,245.31,10,0,6
0139.b4.txt,1526.0,1087.1,519.92,310.6,9,0,7
0140.b4.txt,1168.19,1135.05,397.68,472.25,10,0,6
0158.b4.txt,1388.5,1213.18,610.1,568.02,13,0,1
0165.b4.txt,1193.68,1027.67,442.69,379.45,10,0,5
0178.b4.txt,1549.41,1093.94,658.8,630.34,11,0,0
0200.b4.txt,1246.48,971.83,725.35,732.39,9,0,3
0219.b4.txt,1537.02,927.84,487.35,421.74,16,0,2
0300.b4.txt,1611.25,1133.84,460.36,323.96,11,0,7
0308.b4.txt,1392.07,1066.08,546.26,581.5,6,0,1
0310.b4.txt,1547.48,1125.44,674.09,404.45,12,0,2
0318.b4.txt,1414.57,947.71,378.15,354.81,14,0,4
1003.b4.txt,1609.12,1187.85,511.05,214.09,6,0,2
1021.b4.txt,1387.82,1094.83,485.74,408.64,11,0,4
1023.b4.txt,1277.71,964.8,821.38,808.34,9,0,3
1057.b4.txt,1451.61,1141.94,470.97,354.84,7,0,2
1069.b4.txt,1277.13,1193.66,567.61,709.52,8,0,5
1097.b4.txt,1518.82,1108.87,557.8,483.87,10,0,3
1100.b4.txt,1544.05,1099.0,499.55,308.81,5,0,2
1112.b4.txt,1373.06,1230.57,453.37,427.46,11,0,3
1508.b4.txt,1311.11,1111.11,496.3,318.52,13,0,3
1520.b4.txt,1304.07,1005.09,597.96,419.85,4,0,3
1528.b4.txt,1425.63,1172.04,541.47,534.61,9,0,3
1532.b4.txt,1224.94,1172.98,400.89,534.52,12,0,4
2018.b4.txt,1286.8,1387.72,412.11,378.47,9,0,4
2030.b4.txt,1358.38,1199.42,498.55,433.53,10,0,4
2034.b4.txt,1372.55,917.65,666.67,376.47,13,0,5
